X,Y,Fractal Dimension
16,14,-0.2631413026076288
16,15,0
16,16,0
16,17,0
16,18,0
16,19,-0.07255327033285214
17,0,-0.2588887593505231
17,1,0.46486275619608375
17,2,0
17,3,0
17,4,-0.6772343664717274
17,5,0.3985678327798739
17,6,0.03345876738885352
17,7,-0.01746865288191976
17,8,0.045929642249219055
17,9,0
17,10,0
17,11,0
17,12,0
17,13,0
17,14,0
17,15,0
17,16,0
17,17,0
17,18,0
17,19,0
18,0,0
18,1,0
18,2,0
18,3,0
18,4,0.20076342984657472
18,5,0.2783207724058394
18,6,0
18,7,-0.09546793251631784
18,8,-0.6886470948940387
18,9,0
18,10,0
18,11,0
18,12,0
18,13,0
18,14,0
18,15,0
18,16,0
18,17,0
18,18,0
18,19,0
19,0,0
19,1,0
19,2,0
19,3,0.007496983928153222
19,4,0
19,5,0
19,6,0
19,7,0
19,8,0
19,9,0
19,10,0
19,11,0
19,12,0
19,13,0
19,14,0
19,15,0
19,16,0
19,17,0
19,18,0
19,19,0
