X,Y,Fractal Dimension
11,7,0.845314379992489
11,8,1.8760346508647476
11,9,1.8489841186541416
11,10,0.6231619537641507
11,11,0.44222860856218577
11,12,0.3210480101278449
11,13,1.1203143345273834
11,14,0.425621506263197
11,15,0
11,16,0
11,17,0
11,18,0
11,19,0
12,0,0
12,1,0.3427736727799776
12,2,-0.8566285570947979
12,3,0.5048797451898781
12,4,0.5024457902532673
12,5,0
12,6,0.22562789959554927
12,7,1.008770789338866
12,8,1.0060949535961015
12,9,0.35249963933332873
12,10,0.7032106466886818
12,11,0.3726426445457517
12,12,0.6816037757916542
12,13,0.4782119628434753
12,14,0
12,15,0
12,16,0
12,17,0
12,18,0
12,19,0
13,0,0
13,1,0
13,2,-0.3906650006953958
13,3,0.16255951045793737
13,4,0
13,5,0
13,6,0.7189917617072722
13,7,0.9223801803678378
13,8,0.591960196391847
13,9,0.649385821874992
13,10,0.028356505563192334
13,11,0.049972368557614874
13,12,0.7371574623901567
13,13,0
13,14,0.2948451536295334
13,15,0
13,16,-0.032700481190653906
13,17,0
13,18,0
13,19,0
14,0,0
14,1,-0.5022332668266007
14,2,0.10482902156859575
14,3,0
14,4,0
14,5,0
14,6,0.39391918855608765
14,7,0.8686181487466467
14,8,0.40521224177712406
14,9,0.9247640435928015
14,10,0.49740137647570154
14,11,0
14,12,0
14,13,0
14,14,0.10184735621678886
14,15,0.021879222172322285
14,16,0.2065381693497286
14,17,0
14,18,0
14,19,0
15,0,0
15,1,0.14320275647720307
15,2,0.8875428576436709
15,3,0
15,4,0
15,5,0.5194669120831135
15,6,0.32001799753904536
15,7,0
15,8,0.6426236178593958
15,9,0.3593966773965969
15,10,1.0564251455307343
15,11,0
15,12,0
15,13,0
15,14,-0.25055697416181205
15,15,0.2592128887874385
15,16,0
15,17,0
15,18,0
15,19,0.28675265774300196
16,0,0
16,1,0.05095806613114753
16,2,0.15229992653153446
16,3,0
16,4,0
16,5,0
16,6,0.9917901434730989
16,7,0.38016441496369174
16,8,0.1594161286978776
16,9,-0.3980897529875338
16,10,0.5071080475017248
16,11,0
16,12,0.17547714839383646
16,13,-0.43278452682672036
16,14,-0.2631413026076288
16,15,0
16,16,0
16,17,0
16,18,0
16,19,-0.07255327033285214
17,0,-0.20234659429945143
17,1,0.5083530913283866
17,2,0
17,3,0
17,4,-0.6772343664717274
17,5,0.3985678327798739
17,6,0.22973027299726578
17,7,0.4740818558017324
17,8,0.16558385880340246
17,9,0
17,10,-0.07599754254490647
17,11,0
17,12,0
17,13,0
17,14,0
17,15,0
17,16,0
17,17,0
17,18,0
17,19,-0.36481029061016457
18,0,0
18,1,0
18,2,0
18,3,0
18,4,0.18644481789187645
18,5,0.2783207724058394
18,6,0
18,7,0.2448907335577173
18,8,-0.6886470948940387
18,9,0
18,10,0.09801562329569127
18,11,0
18,12,0
18,13,0
18,14,0
18,15,0
18,16,0
18,17,0
18,18,0
18,19,0
19,0,0
19,1,0
19,2,0
19,3,0.007496983928153222
19,4,0
19,5,0
19,6,0
19,7,0
19,8,0
19,9,0.18480817942480943
19,10,0
19,11,0
19,12,0
19,13,0
19,14,0
19,15,0
19,16,0
19,17,0
19,18,0
19,19,0
